particle,elasticity,weight,frame,x,y,z
1,0.88077,12.2046,1,0.42124,0.36425,0.46853
1,0.88077,12.2046,2,0.35443,0.29512,0.35884
1,0.88077,12.2046,3,0.28813,0.22651,0.23623
1,0.88077,12.2046,4,0.22234,0.15844,0.10083
1,0.88077,12.2046,5,0.17747,0.09953,0.07408
1,0.88077,12.2046,6,0.1452,0.05322,0.13134
1,0.88077,12.2046,7,0.11307,0.00712,0.17457
1,0.88077,12.2046,8,0.08107,-0.03878,0.20384
1,0.88077,12.2046,9,0.0492,-0.08451,0.21923
1,0.88077,12.2046,10,0.01745,-0.13006,0.22079
1,0.88077,12.2046,11,-0.01417,-0.17545,0.20857
1,0.88077,12.2046,12,-0.04569,-0.22066,0.18263
1,0.88077,12.2046,13,-0.07707,-0.26569,0.14302
1,0.88077,12.2046,14,-0.10832,-0.31052,0.08982
1,0.88077,12.2046,15,-0.14502,-0.35015,0.05973
1,0.88077,12.2046,16,-0.17778,-0.38131,0.07452
1,0.88077,12.2046,17,-0.21042,-0.41236,0.07548
2,0.8006,24.74551,1,0.427,0.36979,0.46684
2,0.8006,24.74551,2,0.36961,0.29613,0.3649
2,0.8006,24.74551,3,0.30507,0.22366,0.25172
2,0.8006,24.74551,4,0.24102,0.15174,0.12565
2,0.8006,24.74551,5,0.19725,0.06963,0.07685
2,0.8006,24.74551,6,0.17266,-0.01783,0.10999
2,0.8006,24.74551,7,0.14911,-0.10405,0.1359
2,0.8006,24.74551,8,0.12567,-0.18982,0.14792
2,0.8006,24.74551,9,0.10235,-0.27517,0.1461
2,0.8006,24.74551,10,0.07915,-0.36008,0.13054
2,0.8006,24.74551,11,0.0573,-0.41677,0.1081
2,0.8006,24.74551,12,0.0378,-0.39408,0.09148
2,0.8006,24.74551,13,0.01837,-0.37146,0.06114
2,0.8006,24.74551,14,0.00262,-0.3502,0.05647
2,0.8006,24.74551,15,-0.01081,-0.33245,0.06377
2,0.8006,24.74551,16,-0.02341,-0.31614,0.06518
2,0.8006,24.74551,17,-0.03454,-0.30107,0.06237
3,0.78686,25.49948,1,0.42682,0.37091,0.46661
3,0.78686,25.49948,2,0.37024,0.29861,0.36486
3,0.78686,25.49948,3,0.30651,0.22748,0.25186
3,0.78686,25.49948,4,0.24325,0.15689,0.12596
3,0.78686,25.49948,5,0.19831,0.07543,0.07197
3,0.78686,25.49948,6,0.16979,-0.0034,0.12072
3,0.78686,25.49948,7,0.14161,-0.08038,0.16126
3,0.78686,25.49948,8,0.11357,-0.15697,0.18783
3,0.78686,25.49948,9,0.08566,-0.23319,0.2005
3,0.78686,25.49948,10,0.05789,-0.30905,0.19935
3,0.78686,25.49948,11,0.03024,-0.38455,0.18443
3,0.78686,25.49948,12,0.01322,-0.39921,0.1667
3,0.78686,25.49948,13,0.00149,-0.3836,0.14068
3,0.78686,25.49948,14,-0.01019,-0.36804,0.10096
3,0.78686,25.49948,15,-0.02323,-0.35286,0.056
3,0.78686,25.49948,16,-0.0392,-0.3393,0.07179
3,0.78686,25.49948,17,-0.05468,-0.32696,0.0806
4,0.77968,24.79464,1,0.42673,0.3715,0.46649
4,0.77968,24.79464,2,0.37058,0.2999,0.36483
4,0.77968,24.79464,3,0.30727,0.22947,0.25193
4,0.77968,24.79464,4,0.24443,0.15957,0.12612
4,0.77968,24.79464,5,0.19897,0.07841,0.06998
4,0.77968,24.79464,6,0.16891,-0.00039,0.11777
4,0.77968,24.79464,7,0.13901,-0.07878,0.15155
4,0.77968,24.79464,8,0.10926,-0.15677,0.17139
4,0.77968,24.79464,9,0.07966,-0.23439,0.17737
4,0.77968,24.79464,10,0.0502,-0.31163,0.16956
4,0.77968,24.79464,11,0.02088,-0.3885,0.14802
4,0.77968,24.79464,12,0.00768,-0.39539,0.10646
4,0.77968,24.79464,13,0.00156,-0.37258,0.06877
4,0.77968,24.79464,14,-0.00617,-0.36127,0.06923
4,0.77968,24.79464,15,-0.01094,-0.35045,0.07468
4,0.77968,24.79464,16,-0.0157,-0.33964,0.06634
4,0.77968,24.79464,17,-0.02045,-0.32929,0.04972
5,0.7803,22.01032,1,0.42674,0.37145,0.4665
5,0.7803,22.01032,2,0.37055,0.29979,0.36484
5,0.7803,22.01032,3,0.3072,0.2293,0.25192
5,0.7803,22.01032,4,0.24433,0.15934,0.12611
5,0.7803,22.01032,5,0.19891,0.07815,0.07015
5,0.7803,22.01032,6,0.16898,-0.00094,0.1168
5,0.7803,22.01032,7,0.13921,-0.07963,0.14945
5,0.7803,22.01032,8,0.10958,-0.15792,0.16816
5,0.7803,22.01032,9,0.0801,-0.23584,0.17303
