particle,elasticity,weight,frame,x,y,z
1,0.57856,68.61265,1,0.32947,0.32412,0.20999
1,0.57856,68.61265,2,0.3686,0.22786,0.29457
1,0.57856,68.61265,3,0.32729,0.12758,0.35185
1,0.57856,68.61265,4,0.28625,0.02793,0.39475
1,0.57856,68.61265,5,0.24544,-0.07111,0.42336
1,0.57856,68.61265,6,0.20488,-0.16958,0.43778
1,0.57856,68.61265,7,0.16455,-0.26749,0.43809
1,0.57856,68.61265,8,0.12445,-0.36483,0.42437
1,0.57856,68.61265,9,0.07912,-0.37507,0.38744
1,0.57856,68.61265,10,0.03128,-0.34208,0.33203
1,0.57856,68.61265,11,-0.01632,-0.30924,0.26286
1,0.57856,68.61265,12,-0.06368,-0.27658,0.18002
1,0.57856,68.61265,13,-0.10794,-0.24403,0.0987
1,0.57856,68.61265,14,-0.12935,-0.21103,0.12403
1,0.57856,68.61265,15,-0.1507,-0.17814,0.13523
1,0.57856,68.61265,16,-0.17198,-0.14536,0.13235
1,0.57856,68.61265,17,-0.1932,-0.11267,0.11544
1,0.57856,68.61265,18,-0.21404,-0.08057,0.09999
1,0.57856,68.61265,19,-0.23448,-0.04908,0.09998
1,0.57856,68.61265,20,-0.25475,-0.01786,0.09998
2,0.59247,69.08757,1,0.32946,0.32237,0.20998
2,0.59247,69.08757,2,0.36806,0.22464,0.29457
2,0.59247,69.08757,3,0.3258,0.12313,0.35184
2,0.59247,69.08757,4,0.2838,0.02227,0.39473
2,0.59247,69.08757,5,0.24206,-0.07797,0.42333
2,0.59247,69.08757,6,0.20056,-0.17763,0.43773
2,0.59247,69.08757,7,0.15931,-0.27671,0.43803
2,0.59247,69.08757,8,0.11829,-0.37521,0.4243
2,0.59247,69.08757,9,0.0711,-0.37054,0.38541
2,0.59247,69.08757,10,0.0223,-0.33662,0.32948
2,0.59247,69.08757,11,-0.02625,-0.30288,0.25979
2,0.59247,69.08757,12,-0.07455,-0.26931,0.17644
2,0.59247,69.08757,13,-0.11683,-0.2359,0.10422
2,0.59247,69.08757,14,-0.13889,-0.20251,0.1045
2,0.59247,69.08757,15,-0.16072,-0.16947,0.09999
2,0.59247,69.08757,16,-0.18229,-0.13682,0.09998
2,0.59247,69.08757,17,-0.20367,-0.10445,0.09998
2,0.59247,69.08757,18,-0.22486,-0.07237,0.09998
2,0.59247,69.08757,19,-0.24587,-0.04058,0.09998
2,0.59247,69.08757,20,-0.2667,-0.00905,0.09998
3,0.6207,68.90595,1,0.32946,0.3188,0.20998
3,0.6207,68.90595,2,0.36697,0.21811,0.29455
3,0.6207,68.90595,3,0.32276,0.11412,0.35181
3,0.6207,68.90595,4,0.27884,0.01079,0.39468
3,0.6207,68.90595,5,0.23518,-0.09188,0.42326
3,0.6207,68.90595,6,0.1918,-0.19395,0.43764
3,0.6207,68.90595,7,0.14866,-0.29541,0.43791
3,0.6207,68.90595,8,0.10579,-0.39627,0.42415
3,0.6207,68.90595,9,0.05481,-0.36063,0.381
3,0.6207,68.90595,10,0.00407,-0.32515,0.32402
3,0.6207,68.90595,11,-0.0464,-0.28986,0.25329
3,0.6207,68.90595,12,-0.09661,-0.25475,0.16892
3,0.6207,68.90595,13,-0.14067,-0.22004,0.10179
3,0.6207,68.90595,14,-0.16407,-0.18614,0.12847
3,0.6207,68.90595,15,-0.18739,-0.15236,0.14102
3,0.6207,68.90595,16,-0.21063,-0.11868,0.13949
3,0.6207,68.90595,17,-0.2338,-0.08511,0.12391
3,0.6207,68.90595,18,-0.25674,-0.05187,0.10034
3,0.6207,68.90595,19,-0.27902,-0.01959,0.09999
3,0.6207,68.90595,20,-0.3011,0.01239,0.09998
4,0.61612,67.78792,1,0.32946,0.31938,0.20998
4,0.61612,67.78792,2,0.36715,0.21917,0.29456
4,0.61612,67.78792,3,0.32325,0.11558,0.35182
4,0.61612,67.78792,4,0.27964,0.01266,0.39469
4,0.61612,67.78792,5,0.2363,-0.08962,0.42327
4,0.61612,67.78792,6,0.19322,-0.1913,0.43765
4,0.61612,67.78792,7,0.15039,-0.29238,0.43793
4,0.61612,67.78792,8,0.10782,-0.39286,0.42417
4,0.61612,67.78792,9,0.05712,-0.36001,0.38101
4,0.61612,67.78792,10,0.00666,-0.32733,0.32402
4,0.61612,67.78792,11,-0.04354,-0.2948,0.25328
4,0.61612,67.78792,12,-0.09347,-0.26245,0.1689
4,0.61612,67.78792,13,-0.13728,-0.2303,0.10171
4,0.61612,67.78792,14,-0.16048,-0.19834,0.12819
4,0.61612,67.78792,15,-0.1836,-0.16649,0.14054
4,0.61612,67.78792,16,-0.20665,-0.13474,0.13882
4,0.61612,67.78792,17,-0.22963,-0.10308,0.12305
4,0.61612,67.78792,18,-0.25239,-0.07173,0.10104
4,0.61612,67.78792,19,-0.27451,-0.04126,0.09998
4,0.61612,67.78792,20,-0.29642,-0.01107,0.09998
5,0.56278,67.08977,1,0.32947,0.32611,0.20999
5,0.56278,67.08977,2,0.36922,0.23151,0.29458
5,0.56278,67.08977,3,0.32899,0.13262,0.35187
5,0.56278,67.08977,4,0.28902,0.03434,0.39477
5,0.56278,67.08977,5,0.24929,-0.06333,0.4234
5,0.56278,67.08977,6,0.20978,-0.16046,0.43783
5,0.56278,67.08977,7,0.17051,-0.25703,0.43816
5,0.56278,67.08977,8,0.13145,-0.35305,0.42445
5,0.56278,67.08977,9,0.08808,-0.37842,0.38936
5,0.56278,67.08977,10,0.04131,-0.3477,0.33447
5,0.56278,67.08977,11,-0.00524,-0.31713,0.26581
5,0.56278,67.08977,12,-0.05155,-0.28671,0.18348
5,0.56278,67.08977,13,-0.09479,-0.25629,0.10218
5,0.56278,67.08977,14,-0.11547,-0.22459,0.12377
5,0.56278,67.08977,15,-0.13609,-0.19299,0.13124
