particle,elasticity,weight,frame,x,y,z
1,0.98344,149.6402,1,-0.21844,0.10102,0.48691
1,0.98344,149.6402,2,-0.38883,-0.12198,0.75732
1,0.98344,149.6402,3,-0.22527,-0.28625,0.94803
1,0.98344,149.6402,4,-0.09834,-0.43545,0.84974
1,0.98344,149.6402,5,-0.0054,-0.37329,0.75915
1,0.98344,149.6402,6,0.08684,-0.3116,0.65549
1,0.98344,149.6402,7,0.17838,-0.25038,0.53887
1,0.98344,149.6402,8,0.26918,-0.18965,0.40945
1,0.98344,149.6402,9,0.35922,-0.12943,0.26737
1,0.98344,149.6402,10,0.43936,-0.06893,0.11493
1,0.98344,149.6402,11,0.38062,-0.01692,0.07246
1,0.98344,149.6402,12,0.31615,0.03752,0.13185
1,0.98344,149.6402,13,0.25202,0.09167,0.17715
1,0.98344,149.6402,14,0.18823,0.14554,0.20845
1,0.98344,149.6402,15,0.12476,0.19914,0.22583
1,0.98344,149.6402,16,0.06159,0.25248,0.22937
1,0.98344,149.6402,17,-0.00126,0.30556,0.21911
1,0.98344,149.6402,18,-0.06382,0.35839,0.19514
1,0.98344,149.6402,19,-0.12606,0.41096,0.15753
1,0.98344,149.6402,20,-0.18109,0.42529,0.10916
1,0.98344,149.6402,21,-0.23064,0.39563,0.07841
1,0.98344,149.6402,22,-0.27781,0.35503,0.08721
1,0.98344,149.6402,23,-0.32418,0.31433,0.08483
1,0.98344,149.6402,24,-0.36814,0.27717,0.08487
1,0.98344,149.6402,25,-0.41082,0.24183,0.07922
1,0.98344,149.6402,26,-0.39334,0.21363,0.07307
1,0.98344,149.6402,27,-0.37441,0.18669,0.06402
1,0.98344,149.6402,28,-0.35491,0.16234,0.06114
1,0.98344,149.6402,29,-0.33713,0.14028,0.05645
1,0.98344,149.6402,30,-0.32036,0.12109,0.05079
1,0.98344,149.6402,31,-0.30596,0.10575,0.05043
1,0.98344,149.6402,32,-0.29351,0.09296,0.04924
1,0.98344,149.6402,33,-0.28343,0.08269,0.04837
1,0.98344,149.6402,34,-0.27576,0.07498,0.04833
1,0.98344,149.6402,35,-0.27022,0.06976,0.04831
1,0.98344,149.6402,36,-0.26688,0.06697,0.04859
1,0.98344,149.6402,37,-0.2657,0.06612,0.04871
1,0.98344,149.6402,38,-0.26561,0.06602,0.04938
1,0.98344,149.6402,39,-0.26564,0.06595,0.0497
1,0.98344,149.6402,40,-0.26565,0.06591,0.04985
1,0.98344,149.6402,41,-0.26566,0.06589,0.04992
1,0.98344,149.6402,42,-0.26566,0.06588,0.04996
1,0.98344,149.6402,43,-0.26566,0.06588,0.04997
1,0.98344,149.6402,44,-0.26567,0.06588,0.04998
1,0.98344,149.6402,45,-0.26567,0.06588,0.04998
1,0.98344,149.6402,46,-0.26567,0.06588,0.04998
1,0.98344,149.6402,47,-0.26567,0.06588,0.04998
1,0.98344,149.6402,48,-0.26567,0.06588,0.04998
1,0.98344,149.6402,49,-0.26567,0.06588,0.04998
1,0.98344,149.6402,50,-0.26567,0.06588,0.04998
1,0.98344,149.6402,51,-0.26567,0.06588,0.04998
1,0.98344,149.6402,52,-0.26567,0.06588,0.04998
1,0.98344,149.6402,53,-0.26567,0.06588,0.04998
1,0.98344,149.6402,54,-0.26567,0.06588,0.04998
1,0.98344,149.6402,55,-0.26567,0.06588,0.04998
