particle,elasticity,weight,frame,x,y,z
1,0.66316,-532.87717,1,-0.36724,0.2163,0.58964
1,0.66316,-532.87717,2,-0.41479,0.18878,0.8757
1,0.66316,-532.87717,3,-0.39618,0.17483,0.90211
1,0.66316,-532.87717,4,-0.38542,0.16781,0.82163
1,0.66316,-532.87717,5,-0.3747,0.16082,0.72779
1,0.66316,-532.87717,6,-0.36404,0.15387,0.6207
1,0.66316,-532.87717,7,-0.35345,0.14696,0.5005
1,0.66316,-532.87717,8,-0.34293,0.14009,0.36733
1,0.66316,-532.87717,9,-0.33248,0.13328,0.22135
1,0.66316,-532.87717,10,-0.32211,0.12651,0.06273
1,0.66316,-532.87717,11,-0.31156,0.09323,0.09175
1,0.66316,-532.87717,12,-0.29957,0.06431,0.13175
1,0.66316,-532.87717,13,-0.28762,0.03548,0.15784
1,0.66316,-532.87717,14,-0.27571,0.00675,0.17008
1,0.66316,-532.87717,15,-0.26383,-0.0219,0.1685
1,0.66316,-532.87717,16,-0.25198,-0.05047,0.15315
1,0.66316,-532.87717,17,-0.24017,-0.07896,0.12407
1,0.66316,-532.87717,18,-0.2284,-0.10736,0.08131
1,0.66316,-532.87717,19,-0.21055,-0.13216,0.06358
1,0.66316,-532.87717,20,-0.19493,-0.15016,0.07147
1,0.66316,-532.87717,21,-0.18084,-0.16695,0.07321
1,0.66316,-532.87717,22,-0.16868,-0.18332,0.06911
1,0.66316,-532.87717,23,-0.15766,-0.19813,0.06429
1,0.66316,-532.87717,24,-0.14656,-0.21176,0.05275
1,0.66316,-532.87717,25,-0.13824,-0.22121,0.05183
1,0.66316,-532.87717,26,-0.13127,-0.22838,0.05037
1,0.66316,-532.87717,27,-0.12662,-0.23411,0.04934
1,0.66316,-532.87717,28,-0.12371,-0.23817,0.04881
1,0.66316,-532.87717,29,-0.12225,-0.23988,0.04938
1,0.66316,-532.87717,30,-0.12219,-0.23987,0.0497
1,0.66316,-532.87717,31,-0.12222,-0.23983,0.04985
1,0.66316,-532.87717,32,-0.12221,-0.23982,0.04992
1,0.66316,-532.87717,33,-0.1222,-0.23982,0.04996
1,0.66316,-532.87717,34,-0.1222,-0.23982,0.04997
1,0.66316,-532.87717,35,-0.1222,-0.23982,0.04998
1,0.66316,-532.87717,36,-0.1222,-0.23982,0.04998
1,0.66316,-532.87717,37,-0.1222,-0.23982,0.04998
1,0.66316,-532.87717,38,-0.1222,-0.23982,0.04998
1,0.66316,-532.87717,39,-0.1222,-0.23982,0.04998
1,0.66316,-532.87717,40,-0.1222,-0.23982,0.04998
1,0.66316,-532.87717,41,-0.1222,-0.23982,0.04998
1,0.66316,-532.87717,42,-0.1222,-0.23982,0.04998
1,0.66316,-532.87717,43,-0.1222,-0.23982,0.04998
1,0.66316,-532.87717,44,-0.1222,-0.23982,0.04998
1,0.66316,-532.87717,45,-0.1222,-0.23982,0.04998
1,0.66316,-532.87717,46,-0.1222,-0.23982,0.04998
1,0.66316,-532.87717,47,-0.1222,-0.23982,0.04998
1,0.66316,-532.87717,48,-0.1222,-0.23982,0.04998
1,0.66316,-532.87717,49,-0.1222,-0.23982,0.04998
1,0.66316,-532.87717,50,-0.1222,-0.23982,0.04998
1,0.66316,-532.87717,51,-0.1222,-0.23982,0.04998
1,0.66316,-532.87717,52,-0.1222,-0.23983,0.04998
1,0.66316,-532.87717,53,-0.1222,-0.23983,0.04998
1,0.66316,-532.87717,54,-0.1222,-0.23983,0.04998
1,0.66316,-532.87717,55,-0.1222,-0.23983,0.04998
1,0.66316,-532.87717,56,-0.1222,-0.23983,0.04998
1,0.66316,-532.87717,57,-0.1222,-0.23983,0.04998
1,0.66316,-532.87717,58,-0.1222,-0.23983,0.04998
1,0.66316,-532.87717,59,-0.1222,-0.23983,0.04998
