particle,elasticity,weight,frame,x,y,z
1,0.74762,23.47337,1,0.2902,0.36155,0.62596
1,0.74762,23.47337,2,0.36052,0.27662,0.60763
1,0.74762,23.47337,3,0.41791,0.19435,0.57792
1,0.74762,23.47337,4,0.37523,0.12963,0.55273
1,0.74762,23.47337,5,0.33275,0.06522,0.51389
1,0.74762,23.47337,6,0.29049,0.00113,0.46149
1,0.74762,23.47337,7,0.24845,-0.0626,0.3956
1,0.74762,23.47337,8,0.20666,-0.12598,0.31633
1,0.74762,23.47337,9,0.16511,-0.18897,0.22378
1,0.74762,23.47337,10,0.12383,-0.25156,0.11807
1,0.74762,23.47337,11,0.08691,-0.30903,0.05204
1,0.74762,23.47337,12,0.05931,-0.35549,0.08473
1,0.74762,23.47337,13,0.03181,-0.40176,0.10351
1,0.74762,23.47337,14,0.01388,-0.40791,0.10529
1,0.74762,23.47337,15,-0.00129,-0.40263,0.09238
1,0.74762,23.47337,16,-0.01625,-0.3992,0.07307
1,0.74762,23.47337,17,-0.03055,-0.40217,0.06573
1,0.74762,23.47337,18,-0.04293,-0.40514,0.0543
2,0.76778,31.7571,1,0.29053,0.3595,0.62596
2,0.76778,31.7571,2,0.36121,0.27227,0.60763
2,0.76778,31.7571,3,0.41873,0.18772,0.57801
2,0.76778,31.7571,4,0.37432,0.12074,0.55354
2,0.76778,31.7571,5,0.33012,0.05409,0.51543
2,0.76778,31.7571,6,0.28616,-0.01221,0.46375
2,0.76778,31.7571,7,0.24243,-0.07816,0.39859
2,0.76778,31.7571,8,0.19895,-0.14374,0.32004
2,0.76778,31.7571,9,0.15574,-0.20891,0.22822
2,0.76778,31.7571,10,0.11281,-0.27366,0.12324
2,0.76778,31.7571,11,0.07348,-0.3364,0.043
2,0.76778,31.7571,12,0.04789,-0.39373,0.08495
2,0.76778,31.7571,13,0.03215,-0.3841,0.10645
2,0.76778,31.7571,14,0.01924,-0.35547,0.11226
2,0.76778,31.7571,15,0.00637,-0.32691,0.10427
2,0.76778,31.7571,16,-0.00646,-0.29843,0.08253
2,0.76778,31.7571,17,-0.01606,-0.26856,0.06121
2,0.76778,31.7571,18,-0.02152,-0.24059,0.05853
3,0.76778,31.7571,1,0.29053,0.3595,0.62596
3,0.76778,31.7571,2,0.36121,0.27227,0.60763
3,0.76778,31.7571,3,0.41873,0.18772,0.57801
3,0.76778,31.7571,4,0.37432,0.12074,0.55354
3,0.76778,31.7571,5,0.33012,0.05409,0.51543
3,0.76778,31.7571,6,0.28616,-0.01221,0.46375
3,0.76778,31.7571,7,0.24243,-0.07816,0.39859
3,0.76778,31.7571,8,0.19895,-0.14374,0.32004
3,0.76778,31.7571,9,0.15574,-0.20891,0.22822
3,0.76778,31.7571,10,0.11281,-0.27366,0.12324
3,0.76778,31.7571,11,0.07348,-0.3364,0.043
3,0.76778,31.7571,12,0.04789,-0.39373,0.08495
3,0.76778,31.7571,13,0.03215,-0.3841,0.10645
3,0.76778,31.7571,14,0.01924,-0.35547,0.11226
3,0.76778,31.7571,15,0.00637,-0.32691,0.10427
3,0.76778,31.7571,16,-0.00646,-0.29843,0.08253
3,0.76778,31.7571,17,-0.01606,-0.26856,0.06121
3,0.76778,31.7571,18,-0.02152,-0.24059,0.05853
4,0.76778,31.7571,1,0.29053,0.3595,0.62596
4,0.76778,31.7571,2,0.36121,0.27227,0.60763
4,0.76778,31.7571,3,0.41873,0.18772,0.57801
4,0.76778,31.7571,4,0.37432,0.12074,0.55354
4,0.76778,31.7571,5,0.33012,0.05409,0.51543
4,0.76778,31.7571,6,0.28616,-0.01221,0.46375
4,0.76778,31.7571,7,0.24243,-0.07816,0.39859
4,0.76778,31.7571,8,0.19895,-0.14374,0.32004
4,0.76778,31.7571,9,0.15574,-0.20891,0.22822
4,0.76778,31.7571,10,0.11281,-0.27366,0.12324
4,0.76778,31.7571,11,0.07348,-0.3364,0.043
4,0.76778,31.7571,12,0.04789,-0.39373,0.08495
4,0.76778,31.7571,13,0.03215,-0.3841,0.10645
4,0.76778,31.7571,14,0.01924,-0.35547,0.11226
4,0.76778,31.7571,15,0.00637,-0.32691,0.10427
4,0.76778,31.7571,16,-0.00646,-0.29843,0.08253
4,0.76778,31.7571,17,-0.01606,-0.26856,0.06121
4,0.76778,31.7571,18,-0.02152,-0.24059,0.05853
5,0.76778,31.7571,1,0.29053,0.3595,0.62596
5,0.76778,31.7571,2,0.36121,0.27227,0.60763
5,0.76778,31.7571,3,0.41873,0.18772,0.57801
5,0.76778,31.7571,4,0.37432,0.12074,0.55354
5,0.76778,31.7571,5,0.33012,0.05409,0.51543
5,0.76778,31.7571,6,0.28616,-0.01221,0.46375
5,0.76778,31.7571,7,0.24243,-0.07816,0.39859
5,0.76778,31.7571,8,0.19895,-0.14374,0.32004
5,0.76778,31.7571,9,0.15574,-0.20891,0.22822
